index,init_x,init_y,init_z,target_x,target_y,target_z,init_distance,target_width_diameter,target_accuracy,movement_time,episode_successful,dist_to_target
375,0.548806123,0.099046447,0.025036376,0.55,0.116853531,0.037953723,0.022031238,0.01,0,0.08,TRUE,0.01266315
376,0.547487769,0.11002078,0.027592377,0.55,0.124226133,0.055763809,0.031650165,0.01,0,0.08,TRUE,0.01775045
377,0.54635357,0.119326202,0.039097299,0.55,0.128639782,0.077672483,0.039850773,0.01,0,0.08,TRUE,0.01966461
378,0.546378566,0.12901599,0.05834787,0.55,0.129954286,0.104138825,0.045943517,0.01,0,0.08,TRUE,0.0233802
379,0.54704388,0.133682986,0.08124796,0.55,0.127838071,0.127955523,0.047164586,0.01,0,0.09,TRUE,0.02220879
380,0.548032447,0.13584672,0.10733464,0.55,0.122490507,0.149634736,0.044402228,0.01,0,0.1,TRUE,0.02133059
381,0.549483506,0.132466508,0.130787804,0.55,0.115219135,0.164632516,0.037989514,0.01,0,0.13,TRUE,0.0170273
382,0.555295671,0.124186281,0.151161252,0.55,0.106102701,0.173431815,0.029172555,0.01,0,0.19,TRUE,0.01219411
383,0.553501414,0.114783366,0.16561628,0.55,0.09642582,0.174465816,0.020677855,0.01,0,0.18,TRUE,0.00837962
384,0.548861373,0.103984995,0.171033541,0.55,0.086869821,0.16743508,0.017526397,0.01,0,0.11,TRUE,0.01120659
385,0.548602094,0.097929916,0.166291462,0.55,0.078169463,0.151443394,0.024756711,0.01,0,0.07,TRUE,0.0174161
